id,lat,lon,stratum,bbox_min_lat,bbox_max_lat,bbox_min_lon,bbox_max_lon
1,52.277889,20.968656,dense_urban,52.276739,52.279038,20.966776,20.970535
2,34.706883,135.335418,dense_urban,34.705733,34.708033,135.33402,135.336817
3,53.738077,-1.38914,dense_urban,53.736927,53.739227,-1.391084,-1.387196
4,-26.096696,28.190429,dense_urban,-26.097845,-26.095546,28.189149,28.19171
5,43.027649,5.344926,dense_urban,43.026499,43.028799,5.343353,5.346499
6,49.10564,-123.19092,dense_urban,49.10449,49.10679,-123.192677,-123.189164
7,40.186112,-75.273405,dense_urban,40.184962,40.187262,-75.27491,-75.2719
8,33.932733,-118.149822,dense_urban,33.931583,33.933883,-118.151208,-118.148436
9,24.948727,121.490302,dense_urban,24.947577,24.949877,121.489034,121.49157
10,43.757715,-79.403488,dense_urban,43.756565,43.758865,-79.40508,-79.401896
11,25.153222,55.264382,dense_urban,25.152072,25.154372,55.263112,55.265652
12,25.339508,51.346297,dense_urban,25.338358,25.340658,51.345025,51.34757
13,29.908124,-95.684646,dense_urban,29.906974,29.909273,-95.685972,-95.683319
14,-33.897188,151.149656,dense_urban,-33.898338,-33.896038,151.148271,151.151042
15,47.583127,-122.349381,dense_urban,47.581977,47.584277,-122.351085,-122.347676
16,28.422698,77.335555,dense_urban,28.421548,28.423848,77.334248,77.336863
17,40.582353,-74.261191,dense_urban,40.581204,40.583503,-74.262705,-74.259677
18,19.598214,-99.375967,dense_urban,19.597065,19.599364,-99.377188,-99.374747
19,31.623612,74.174286,dense_urban,31.622462,31.624762,74.172935,74.175636
20,33.272365,-111.89463,dense_urban,33.271215,33.273515,-111.896005,-111.893254
21,25.239991,55.147949,dense_urban,25.238841,25.24114,55.146678,55.14922
22,14.791698,121.231514,dense_urban,14.790548,14.792847,121.230325,121.232703
23,-33.581658,-70.852747,dense_urban,-33.582808,-33.580508,-70.854127,-70.851367
24,40.411562,-3.674482,dense_urban,40.410412,40.412712,-3.675993,-3.672972
25,30.701033,114.367195,dense_urban,30.699883,30.702183,114.365858,114.368532
26,-23.323553,-46.351655,dense_urban,-23.324703,-23.322403,-46.352907,-46.350403
27,13.826266,100.810762,dense_urban,13.825116,13.827416,100.809578,100.811946
28,14.680089,121.139323,dense_urban,14.67894,14.681239,121.138134,121.140512
29,-26.311531,27.853059,dense_urban,-26.31268,-26.310381,27.851776,27.854342
30,-4.164215,15.254473,dense_urban,-4.165364,-4.163065,15.25332,15.255626
31,30.048709,31.241691,dense_urban,30.047559,30.049859,31.240362,31.243019
32,25.283237,51.544511,dense_urban,25.282087,25.284387,51.543239,51.545782
33,49.371945,-123.18666,dense_urban,49.370795,49.373095,-123.188426,-123.184894
34,47.44982,19.012364,dense_urban,47.44867,47.45097,19.010663,19.014064
35,6.672854,3.259815,dense_urban,6.671704,6.674004,3.258658,3.260973
36,25.745416,-80.046519,dense_urban,25.744266,25.746566,-80.047795,-80.045242
37,50.110286,8.6324,dense_urban,50.109137,50.111436,8.630607,8.634193
38,-33.905048,18.731222,dense_urban,-33.906198,-33.903899,18.729837,18.732608
39,-34.090659,151.054001,dense_urban,-34.091809,-34.089509,151.052613,151.05539
40,52.402655,21.104441,dense_urban,52.401505,52.403804,21.102556,21.106325
41,45.48506,-73.892655,dense_urban,45.48391,45.48621,-73.894295,-73.891015
42,43.793215,-79.525008,dense_urban,43.792065,43.794364,-79.526601,-79.523415
43,1.245173,103.89631,dense_urban,1.244023,1.246323,103.89516,103.89746
44,40.088458,-75.249046,dense_urban,40.087308,40.089608,-75.250549,-75.247543
45,23.260476,113.317318,dense_urban,23.259326,23.261626,113.316067,113.31857
46,3.140867,101.892973,dense_urban,3.139718,3.142017,101.891821,101.894125
47,25.662869,-80.021582,dense_urban,25.66172,25.664019,-80.022857,-80.020306
48,19.147839,72.8349,dense_urban,19.146689,19.148989,72.833683,72.836117
49,1.195758,103.820215,dense_urban,1.194608,1.196908,103.819065,103.821365
50,-33.725585,18.444026,dense_urban,-33.726735,-33.724435,18.442643,18.445408
51,18.96214,72.903479,dense_urban,18.96099,18.96329,72.902263,72.904694
52,-31.705024,115.87494,dense_urban,-31.706174,-31.703874,115.873589,115.876292
53,49.294216,-123.027883,dense_urban,49.293067,49.295366,-123.029646,-123.02612
54,41.737798,12.600079,dense_urban,41.736648,41.738948,12.598538,12.60162
55,12.983907,77.631355,dense_urban,12.982757,12.985057,77.630175,77.632535
56,41.605923,-87.89733,dense_urban,41.604773,41.607073,-87.898868,-87.895792
57,53.535445,9.735005,dense_urban,53.534295,53.536595,9.733071,9.73694
58,43.681653,-79.455595,dense_urban,43.680503,43.682803,-79.457185,-79.454005
59,53.492099,10.08842,dense_urban,53.49095,53.493249,10.086487,10.090352
60,35.033468,129.026738,dense_urban,35.032318,35.034618,129.025333,129.028142
61,19.134998,-99.385577,dense_urban,19.133848,19.136148,-99.386794,-99.38436
62,-6.2032,106.638683,dense_urban,-6.20435,-6.202051,106.637526,106.639839
